URL;Nb produits
http://www.cdiscount.com/photo-numerique/accessoires-photo/autres/l-1121120.html;22195
http://www.cdiscount.com/livres-bd/livres-litterature/litterature/litterature-etrangere/l-105020602.html;22114
http://www.cdiscount.com/livres-bd/bande-dessinee-manga-comics/l-10528.html;22046
http://www.cdiscount.com/informatique/cartouche-encre-toner-consommable-papier/toners-laser/l-1070613.html;21874
http://www.cdiscount.com/livres-bd/livres-jeunesse-adolescent/3-6-ans/l-1051033.html;20504
http://www.cdiscount.com/au-quotidien/droguerie/droguerie/mercerie/l-127060414.html;20338
http://www.cdiscount.com/au-quotidien/articles-fumeur/l-12712.html;20267
http://www.cdiscount.com/au-quotidien/hygiene-soin-beaute/shampoings/l-1270209.html;20267
http://www.cdiscount.com/maison/bricolage-outillage/electricite/l-1170440.html;20138
http://www.cdiscount.com/chaussures/chaussures-femme/marques/l-1500201.html;20024
http://www.cdiscount.com/maison/bricolage-outillage/gros-outillages/toute-l-offre-gros-outillage-etablis/l-117041720.html;19820
http://www.cdiscount.com/informatique/accessoires-tablettes-tactiles/housses-etuis-tablette/l-1076908.html;19706
http://www.cdiscount.com/high-tech/accessoires/toute-l-offre-accessoires/l-1062830.html;19402
http://www.cdiscount.com/livres-bd/livres-poches/l-10503.html;19264
http://www.cdiscount.com/juniors/jeux-jouets-super-heros/l-12017.html;19253
http://www.cdiscount.com/livres-bd/livres-histoire-geo-actualite/l-10516.html;19174
http://www.cdiscount.com/livres-bd/dictionnaire-langues/l-10512.html;19146
http://www.cdiscount.com/pret-a-porter/vetements-homme/accessoires/l-1130146.html;19102
http://www.cdiscount.com/maison/bricolage-outillage/outillage-electroportatif/choix-par-marque/l-117040113.html;19092
http://www.cdiscount.com/auto/pneus/l-13364.html;18733
http://www.cdiscount.com/maison/decoration-accessoires/tableaux/stickers/l-117634104.html;18475
http://www.cdiscount.com/livres-bd/bande-dessinee-manga-comics/bande-dessinee/l-1052801.html;18472
http://www.cdiscount.com/livres-bd/livres-jeunesse-adolescent/livre-litterature-jeunesse/l-1051020.html;18260
http://www.cdiscount.com/arts-loisirs/papeterie-fournitures-scolaires/feuilles-cahiers-recueils/l-1610307.html;18167
http://www.cdiscount.com/musique-cd-dvd/cd-classique/l-10115.html;17824
http://www.cdiscount.com/telephonie/accessoires-portable-gsm/cables-et-adaptateurs/l-1442025.html;17804
http://www.cdiscount.com/auto/pneus/choix-par-marque/l-1336401.html;17496
http://www.cdiscount.com/livres-bd/livres-litterature/policier/l-1050208.html;17267
http://www.cdiscount.com/maison/cuisson/ustensiles-de-cuisine/l-1178912.html;17176
http://www.cdiscount.com/maison/decoration-accessoires/objets-deco/l-1176311.html;17172
http://www.cdiscount.com/livres-bd/livres-religion-esoterisme/l-10521.html;17024
http://www.cdiscount.com/juniors/jeux-et-jouets-par-type/maquettes-modeles-reduits/maquettes-voitures-avions-militaires/l-120062701.html;16759
http://www.cdiscount.com/maison/bricolage-outillage/quincaillerie/fixation-visserie/l-117043403.html;16541
http://www.cdiscount.com/au-quotidien/articles-fumeur/cigarette-electronique/l-1271205.html;16377
http://www.cdiscount.com/maison/achat-meuble-literie/le-coin-des-marques/l-1175523.html;15390
http://www.cdiscount.com/maison/achat-meuble-literie/toute-l-offre-lits-matelas/l-1175536.html;15344
http://www.cdiscount.com/bagages/business/l-14323.html;15136
http://www.cdiscount.com/livres-bd/livres-litterature/livre-litterature-francaise/romans/l-105020101.html;15078
http://www.cdiscount.com/informatique/materiel-reseau-wifi-internet-bluetooth/toute-l-offre-reseau/l-1071571.html;14911
http://www.cdiscount.com/musique-instruments/toute-l-offre/l-16008.html;14851
http://www.cdiscount.com/auto/confort-visibilite/l-13302.html;14818
http://www.cdiscount.com/informatique/ordinateurs-pc-portables/stickers-pour-notebook/l-1070934.html;14435
http://www.cdiscount.com/auto/pneus/choix-par-taille/l-1336419.html;14377
http://www.cdiscount.com/musique-cd-dvd/cd-pop-rock/l-10107.html;14293
http://www.cdiscount.com/informatique/cables-connectiques/cable-reseau/l-1072005.html;14070
http://www.cdiscount.com/le-sport/velos-tandem-tricycle-monocycle-remorque-casque/equipement/l-1211924.html;14014
http://www.cdiscount.com/maison/achat-meuble-literie/choix-par-confort-soutien/l-1175535.html;13888
http://www.cdiscount.com/livres-bd/livres-jeunesse-adolescent/3-6-ans/album/l-105103302.html;13751
http://www.cdiscount.com/livres-bd/arts-cinema-musique-architecture/beaux-arts/l-1050104.html;13349
http://www.cdiscount.com/musique-cd-dvd/cd-variete-internationale/l-10104.html;13257
